gaiadr2.gaia_source,dec_pmdec_corr,,stat.correlation;pos.eq.dec;pos.pm;pos.eq.dec,,Correlation between declination and proper motion in declination,REAL,,,,0,,0,93,
gaiadr2.gaia_source,parallax_pmdec_corr,,stat.correlation;pos.parallax;pos.pm;pos.eq.dec,,Correlation between parallax and proper motion in declination,REAL,,,,0,,0,93,
gaiadr2.gaia_source,parallax_pmra_corr,,stat.correlation;pos.parallax;pos.pm;pos.eq.ra,,Correlation between parallax and proper motion in right ascension,REAL,,,,0,,0,93,
gaiadr2.gaia_source,pmra_pmdec_corr,,stat.correlation;pos.pm;pos.eq.ra;pos.pm;pos.eq.dec,,Correlation between proper motion in right ascension and proper motion in declination,REAL,,,,0,,0,93,
gaiadr2.gaia_source,astrometric_n_obs_ac,,meta.number,,Total number of observations AC,INTEGER,,,,0,,0,93,
gaiadr2.gaia_source,astrometric_chi2_al,,stat.fit.chi2,,AL chi-square value,REAL,,,,0,,0,93,
gaiadr2.gaia_source,astrometric_n_bad_obs_al,,meta.number,,Number of bad observations AL,INTEGER,,,,0,,0,93,
gaiadr2.gaia_source,astrometric_n_good_obs_al,,meta.number,,Number of good observations AL,INTEGER,,,,0,,0,93,
gaiadr2.gaia_source,astrometric_n_obs_al,,meta.number,,Total number of observations AL,INTEGER,,,,0,,0,93,
gaiadr2.gaia_source,radial_velocity,,spect.dopplerVeloc.opt,km/s,Radial velocity,DOUBLE,,,,1,1,0,93,
gaiadr2.gaia_source,radial_velocity_error,,stat.error;spect.dopplerVeloc.opt,km/s,Radial velocity error,DOUBLE,,,,0,,0,93,
gaiadr2.gaia_source,teff_val,,phys.temperature.effective,K,Stellar effective temperature,REAL,,,,1,,0,93,
gaiadr2.gaia_source,lum_val,,phys.luminosity,solLum,Stellar luminosity,REAL,,,,1,,0,93,
gaiadr2.gaia_source,phot_variable_flag,,meta.code;src.var,,Photometric variability flag,VARCHAR,,,,0,,0,93,
gaiadr2.gaia_source,priam_flags,,meta.code,,Flags for the Apsis-Priam results,BIGINT,,,,0,,0,93,
gaiadr2.gaia_source,teff_percentile_lower,,phys.temperature.effective;stat.min,K,teffVal lower uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,teff_percentile_upper,,phys.temperature.effective;stat.max,K,teffVal upper uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,a_g_percentile_lower,,phys.absorption.gal;stat.min,mag,aGVal lower uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,a_g_percentile_upper,,phys.absorption.gal;stat.max,mag,aGVal upper uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,e_bp_min_rp_val,,,mag,Line-of-sight reddening E(BP-RP),REAL,,,,0,,0,93,
gaiadr2.gaia_source,flame_flags,,meta.code,,Flags for the Apsis-FLAME results,BIGINT,,,,0,,0,93,
gaiadr2.gaia_source,radius_percentile_lower,,stat.error;phys.size.radius;stat.min,solRad,radiusVal lower uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,radius_percentile_upper,,stat.error;phys.size.radius;stat.max,solRad,radiusVal upper uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,lum_percentile_lower,,stat.error;phys.luminosity;stat.min,solLum,lumVal lower uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,lum_percentile_upper,,stat.error;phys.luminosity;stat.max,solLum,lumVal upper uncertainty,REAL,,,,0,,0,93,
gaiadr2.gaia_source,rv_nb_transits,,meta.number,,Number of transits used to compute radial velocity,INTEGER,,,,0,,0,93,
gaiadr2.gaia_source,radius_val,,phys.size.radius,solRad,Stellar radius,REAL,,,,1,,0,93,
gaiadr2.gaia_source,source_id,,meta.id;meta.main,,Unique source identifier (unique within a particular Data Release),BIGINT,,,,1,1,0,0,
